rna29947	Xetrov90000001m.g
gene15272	LOC101733440
gene33255	LOC105946007
gene14910	Xetrov90026390m.g
gene10569	Xetrov90026391m.g
gene18768	LOC101733497
gene26764	xkr7
gene31314	mast2
gene32115	mgst1
gene18397	LOC100485201
gene8823	LOC100493082
gene25216	LOC100493422
gene21803	LOC100488544
gene15337	Xetrov90026397m.g
gene17725	LOC101734268
gene13365	Xetrov90026398m.g
gene12668	Xetrov90026399m.g
gene10924	Xetrov90026399m.g
gene31731	LOC100491410
gene22238	LOC100489326
gene389	LOC100486817
gene33605	rrm1
gene4671	LOC101733852
gene15534	Xetrov90026406m.g
gene13968	Xetrov90026407m.g
gene13181	Xetrov90026408m.g
gene8831	Xetrov90026409m.g
gene15274	Xetrov90026410m.g
gene16555	LOC100489177
gene22080	LOC100489019
gene26292	LOC105945547
gene32049	LOC100488858
gene18712	LOC100488533
gene13134	LOC100488379
gene10381	Xetrov90026417m.g
gene24163	LOC100488220
gene24853	LOC100488070
gene18551	LOC100487911
gene33037	LOC100494257
gene10676	LOC100487752
gene15293	LOC100487582
gene28007	LOC100487429
gene16929	LOC100486026
gene31707	LOC100487277
gene25314	LOC105945548
gene30764	LOC100486975
gene29082	or52m1
gene24972	or51e1
gene16945	LOC101734187
gene11469	Xetrov90026433m.g
gene12856	Xetrov90026434m.g
gene21851	egfl7
gene19003	mir126
gene32303	agpat2
gene28205	prodh2
gene25727	LOC101732459
gene29704	LOC101734436
gene20288	eif3c
gene15418	LOC101732515
gene29069	LOC101731922
gene2325	naaa
gene30288	ppef2
gene7277	nup54
gene180	scarb2
gene28368	LOC101731809
gene9580	Xetrov90026446m.g
gene15561	Xetrov90026446m.g
gene22839	LOC105948228
gene14543	Xetrov90026447m.g
gene10944	Xetrov90026448m.g
gene13506	Xetrov90026449m.g
gene24431	trpv5
gene21983	MGC76092
gene10971	Xetrov90026452m.g
gene11225	Xetrov90026452m.g
gene9421	Xetrov90026453m.g
gene15435	Xetrov90026454m.g
gene12998	Xetrov90026456m.g
gene8651	Xetrov90026457m.g
gene13025	Xetrov90026457m.g
gene11203	Xetrov90026457m.g
gene15637	Xetrov90026458m.g
gene12732	LOC100490894
gene9979	Xetrov90026457m.g
gene11529	Xetrov90026460m.g
gene8659	LOC101734741
gene11476	LOC100491226
gene13297	LOC100491226
gene14608	LOC100491226
gene11667	Xetrov90026463m.g
gene12940	Xetrov90026464m.g
gene10227	LOC100490726
gene11849	LOC100490551
gene12630	Xetrov90026467m.g
gene10298	Xetrov90026469m.g
gene14580	Xetrov90026470m.g
gene13988	Xetrov90026470m.g
gene14506	Xetrov90026470m.g
gene13446	Xetrov90026471m.g
gene15442	Xetrov90026472m.g
gene10803	Xetrov90026473m.g
gene13866	Xetrov90026474m.g
gene9264	Xetrov90026475m.g
gene11410	Xetrov90026475m.g
gene14008	Xetrov90026475m.g
gene9899	Xetrov90026476m.g
gene12404	Xetrov90026476m.g
gene15619	Xetrov90026476m.g
gene11212	Xetrov90026476m.g
gene17977	LOC105945576
gene29609	LOC105945575
gene13290	Xetrov90026480m.g
gene13969	Xetrov90026481m.g
gene9637	Xetrov90026482m.g
gene11308	Xetrov90026484m.g
gene11063	Xetrov90026485m.g
gene12311	Xetrov90026485m.g
gene12760	LOC101735119
gene30106	LOC101730256
gene19531	LOC101735119
gene11672	Xetrov90026487m.g
gene24260	LOC100492027
gene34139	LOC100491856
gene14275	LOC101734940
gene13314	LOC101730319
gene15159	Xetrov90026490m.g
gene8965	Xetrov90026491m.g
gene13534	Xetrov90026491m.g
gene14571	Xetrov90026492m.g
gene18482	LOC108644696
gene10187	Xetrov90026493m.g
gene21296	LOC108644697
gene9777	Xetrov90026494m.g
gene28792	LOC108644702
gene11300	Xetrov90026495m.g
gene15940	LOC105945307
gene14778	Xetrov90026496m.g
gene15030	Xetrov90026497m.g
gene9137	Xetrov90026498m.g
gene13497	Xetrov90026499m.g
gene14313	Xetrov90026499m.g
gene21064	LOC100490679
gene13575	LOC100490679
gene26226	LOC100490509
gene3074	LOC100490333
gene20280	LOC100490165
gene9499	Xetrov90026504m.g
gene15669	Xetrov90026505m.g
gene15138	Xetrov90026505m.g
gene14118	Xetrov90026505m.g
gene11953	Xetrov90026505m.g
gene9639	LOC100487993
gene13021	LOC100487993
gene10712	LOC100487993
gene15157	eg243628
gene12774	Xetrov90026508m.g
gene14658	LOC101730737
gene11927	Xetrov90026510m.g
gene9479	LOC100497734
gene14337	Xetrov90026512m.g
gene23333	LOC101730871
gene12729	eg435916.1
gene18785	LOC105945310
gene10725	Xetrov90026516m.g
gene9514	Xetrov90026517m.g
gene15606	Xetrov90026518m.g
gene9610	Xetrov90026518m.g
gene13939	LOC101730904
gene15294	Xetrov90026520m.g
gene12530	Xetrov90026521m.g
gene10812	Xetrov90026522m.g
gene9390	Xetrov90026523m.g
gene11237	LOC101731876
gene14078	LOC101731876
gene9801	LOC101731876
gene13450	Xetrov90026525m.g
gene32155	LOC100489996
gene19254	LOC101731997
gene32614	LOC108644698
gene11798	Xetrov90026529m.g
gene12604	Xetrov90026530m.g
gene14082	Xetrov90026530m.g
gene26058	LOC105945311
gene20796	LOC105945312
gene17428	LOC100487195
gene10995	LOC100487044
gene30575	LOC105945313
gene32243	LOC100488136
gene10201	Xetrov90026535m.g
gene15139	Xetrov90026536m.g
gene22419	LOC100487977
gene17469	LOC100487815
gene7034	LOC108644699
gene11967	Xetrov90026540m.g
gene14721	LOC100487195
gene4879	LOC108644700
gene12176	Xetrov90026543m.g
gene21396	LOC105945898
gene26665	LOC108644701
gene11122	Xetrov90026546m.g
gene13727	Xetrov90026546m.g
gene12692	Xetrov90026547m.g
gene15317	LOC100490171
gene14354	LOC100490171
gene9761	Xetrov90026549m.g
gene8735	Xetrov90026550m.g
gene11315	LOC101731606
gene10429	Xetrov90026552m.g
gene18076	trnay-gua
gene20827	trnae-uuc
gene13206	LOC100489867
gene9638	LOC100489867
gene26098	agbl3
gene6959	tmem140
gene4101	LOC100489485
gene18940	wdr91
gene7007	stra8
gene27149	LOC100490216
gene32839	rassf8
gene8889	Xetrov90026561m.g
gene13282	Xetrov90026562m.g
gene30247	pigo
gene23979	LOC100487171
gene2946	usp47
gene24287	dkk3
gene30739	LOC101730995
gene11840	LOC101730995
gene25416	mical2
gene29839	LOC105947039
gene19131	mfap2
gene33403	itih3
gene14707	Xetrov90026570m.g
gene27173	LOC101735002
gene9527	LOC101735122
gene23187	LOC101735060
gene2849	fgfr1op2
gene30596	endou
gene9744	endou
gene33742	LOC101730265
gene20613	LOC101730329
gene22768	LOC108645390
gene18749	LOC100485662
gene17551	LOC108645134
gene21806	LOC100498411
gene9541	Xetrov90026579m.g
gene12243	Xetrov90026579m.g
gene15587	Xetrov90026580m.g
gene11160	Xetrov90026580m.g
gene13502	Xetrov90026581m.g
gene9101	Xetrov90026582m.g
gene28078	LOC100487264
gene13694	LOC101731167
gene32287	LOC101731100
gene15198	LOC101731100
gene24507	LOC100489380
gene11078	Xetrov90026587m.g
gene4358	LOC101732972
gene22329	LOC105946285
gene28487	LOC101730623
gene32401	LOC100488076
gene21794	LOC101730744
gene25714	LOC101731173
gene10719	Xetrov90026591m.g
gene9727	Xetrov90026591m.g
gene30070	LOC101731703
gene15714	Xetrov90026593m.g
gene26258	vipr1
gene11062	Xetrov90026594m.g
gene19963	LOC108645391
gene830	LOC101732002
gene28488	hpdl
gene17554	LOC108645392
gene22628	LOC100485792
gene5933	pex2
gene27523	LOC101732272
gene32912	LOC101732332
gene8947	Xetrov90026601m.g
gene22424	taf1c
gene11398	Xetrov90026603m.g
gene17100	LOC100487067
gene30355	LOC101735268
gene25089	LOC100488021
gene24976	LOC100491383
gene19904	slc29a1
gene32870	csnk2a1
gene31846	ccm2l
gene12132	Xetrov90026612m.g
gene9772	Xetrov90026613m.g
gene10786	Xetrov90026614m.g
gene13525	Xetrov90026615m.g
gene14575	Xetrov90026616m.g
gene4619	LOC100487954
gene14555	Xetrov90026618m.g
gene32874	LOC105946701
gene16303	LOC108645135
gene26736	kcnh6
gene9158	Xetrov90026620m.g
gene16707	sgf29
gene29985	slx1a
gene33857	bola2
gene15153	LOC101733251
gene9458	LOC101733251
gene10441	LOC101733251
gene10916	LOC101733251
gene22693	fam19a1
gene9866	Xetrov90026625m.g
gene15325	Xetrov90026626m.g
gene6659	suclg2
gene30680	LOC100491288
gene33669	kbtbd8
gene4110	LOC100491616
gene20716	lrig1
gene10704	Xetrov90026632m.g
gene9682	Xetrov90026633m.g
gene16002	slc25a26
gene18786	LOC100487738
gene33192	magi1
gene11867	Xetrov90026636m.g
gene28619	LOC100494250
gene383	LOC100496596
gene33068	LOC100495404
gene25499	LOC101733498
gene14958	Xetrov90026641m.g
gene24989	LOC101734781
gene17058	LOC100495544
gene22029	LOC100493151
gene22577	LOC100495244
gene9897	LOC100495399
gene17044	nlgn2
gene30413	LOC101733839
gene14630	Xetrov90026649m.g
gene14289	Xetrov90026650m.g
gene10648	Xetrov90026651m.g
gene10533	Xetrov90026652m.g
gene10281	Xetrov90026653m.g
gene2658	tonsl
gene1949	foxh1
gene8903	Xetrov90026656m.g
gene34003	ppp1r16a
gene13469	Xetrov90026658m.g
gene13570	Xetrov90026660m.g
gene23256	LOC100335112
gene28460	LOC105945559
gene9352	Xetrov90026661m.g
gene15422	Xetrov90026661m.g
gene27072	LOC100488756
gene13773	Xetrov90026662m.g
gene9311	Xetrov90026663m.g
gene324	pdzd8
gene18196	slc18a2
gene21168	LOC100489017
gene26443	LOC100489174
gene34008	hspa12a
gene16214	eno4
gene29781	shtn1
gene15650	Xetrov90026674m.g
gene25667	LOC108645136
gene19634	LOC100487439
gene30700	LOC101734082
gene27931	igsf21
gene10886	Xetrov90026678m.g
gene24528	LOC101734275
gene17015	LOC105946016
gene7650	cldn7
gene9033	LOC101731567
gene13696	Xetrov90026681m.g
gene14271	Xetrov90026682m.g
gene12269	Xetrov90026683m.g
gene14701	Xetrov90026685m.g
gene9232	Xetrov90026686m.g
gene13604	Xetrov90026686m.g
gene11630	Xetrov90026687m.g
gene8641	LOC101731833
gene12171	Xetrov90026690m.g
gene9653	LOC100491471
gene14679	LOC100491471
gene12019	Xetrov90026691m.g
gene11736	Xetrov90026692m.g
gene12779	Xetrov90026693m.g
gene11526	Xetrov90026694m.g
gene10393	Xetrov90026695m.g
gene9583	Xetrov90026696m.g
gene27133	LOC100488757
gene6419	gid8
gene9668	Xetrov90026699m.g
gene13088	Xetrov90026700m.g
gene17004	chtop
gene9136	Xetrov90026702m.g
gene27911	LOC105946019
gene33714	LOC101730266
gene19674	LOC105946020
gene7714	fam204a
gene31167	LOC101730242
gene2684	rab11fip2
gene11542	Xetrov90026710m.g
gene12195	Xetrov90026711m.g
gene12092	Xetrov90026711m.g
gene21478	myh2
gene4788	LOC101730386
gene18133	LOC100127707
gene24761	LOC105946021
gene9113	Xetrov90026717m.g
gene11338	Xetrov90026718m.g
gene10582	Xetrov90026719m.g
gene9613	Xetrov90026720m.g
gene28747	ptpdc1
gene26492	LOC108645393
gene24482	LOC108645137
gene21565	b4galt3
gene3683	tecta.2
gene32695	LOC100487905
gene18582	LOC100496819
gene13826	Xetrov90026726m.g
gene24865	klhdc3
gene26592	LOC108645394
gene19136	gata1
gene3313	LOC100127857
gene31677	LOC101730831
gene16107	LOC101733213
gene13178	Xetrov90026732m.g
gene14241	Xetrov90026733m.g
gene4072	dedd
gene27048	dhcr7
gene2840	svip
gene33481	gas2
gene9699	Xetrov90026738m.g
gene13594	Xetrov90026739m.g
gene33130	hla-a
gene11051	Xetrov90026740m.g
gene28409	inppl1
gene25589	LOC105946643
gene20272	phox2a
gene31048	clpb
gene8447	MGC75845
gene23678	znf674
gene7178	LOC100490565
gene11286	LOC100490389-like
gene22908	LOC108645138
gene18924	fam160a2
gene18760	LOC108645139
gene8682	Xetrov90026749m.g
gene33238	LOC100490051
gene14586	Xetrov90026750m.g
gene9977	Xetrov90026751m.g
gene27	LOC779483
gene20392	LOC101733245
gene20682	cnga4
gene5922	art5
gene31275	rsph1
gene16439	LOC101731296
gene25500	LOC105945184
gene20981	LOC101731468
gene31009	LOC100495047
gene26900	deptor
gene8813	Xetrov90026763m.g
gene20434	LOC101731767
gene27346	wdr73
gene34170	LOC100496869
gene18224	LOC100496083
gene4992	neu3
gene3173	LOC100496553
gene29954	LOC100495989
gene16081	LOC100495770
gene26213	LOC100495609
gene31372	LOC101730504
gene8869	LOC100495441
gene18598	olfr520
gene23811	LOC100495141
gene24232	LOC101731149
gene26044	LOC105946691
gene26134	znf300
gene29691	LOC100494833
gene17715	znf205
gene11264	Xetrov90026782m.g
gene11653	Xetrov90026782m.g
gene8852	Xetrov90026783m.g
gene9258	Xetrov90026782m.g
gene10011	Xetrov90026784m.g
gene10418	Xetrov90026785m.g
gene12010	Xetrov90026786m.g
gene16373	LOC100495325
gene28571	LOC101732106
gene14583	Xetrov90026789m.g
gene15569	Xetrov90026790m.g
gene10409	Xetrov90026791m.g
gene11632	Xetrov90026792m.g
gene5791	LOC100490811
gene15433	LOC100124950
gene18312	LOC105946029
gene1807	syt4
gene11861	Xetrov90026796m.g
gene9110	Xetrov90026797m.g
gene13200	Xetrov90026797m.g
gene23271	pik3c3
gene13381	Xetrov90026799m.g
gene10574	Xetrov90026800m.g
gene11034	Xetrov90026802m.g
gene32247	LOC101732472
gene15288	Xetrov90026803m.g
gene34204	LOC101732538
gene29011	LOC100494260
gene24011	LOC101731818
gene30461	LOC100486758
gene27016	LOC108645395
gene21838	has1
gene3216	dpysl5
gene32260	zg16
gene27995	LOC108645396
gene22823	LOC108645397
gene2491	LOC101733481
gene27189	LOC108645398
gene9485	Xetrov90026811m.g
gene10975	Xetrov90026812m.g
gene21853	cntfr
gene15347	Xetrov90026813m.g
gene30161	LOC100170609
gene16882	LOC105946036
gene29336	maf1
gene10469	Xetrov90026814m.g
gene32062	parp10
gene19958	padi2
gene9552	Xetrov90026817m.g
gene22856	rab13
gene11546	Xetrov90026821m.g
gene14391	Xetrov90026822m.g
gene27558	fbxw9
gene6774	tnpo2
gene7733	rnf11.2
gene2968	c19orf43
gene19240	asna1
gene8649	Xetrov90026828m.g
gene33658	LOC108645140
gene33888	best2
gene13019	Xetrov90026828m.g
gene28647	hook2
gene11493	Xetrov90026830m.g
gene3265	junb
gene9081	Xetrov90026832m.g
gene16020	prdx2
gene16462	rnaseh2a
gene5359	rtbdn
gene11092	Xetrov90026837m.g
gene23358	LOC105947544
gene18110	mast1
gene9900	Xetrov90026840m.g
gene28055	ybx2
gene14741	Xetrov90026843m.g
gene31021	LOC779590
gene3064	sult1a1
gene18698	wars2
gene23620	LOC100489529
gene27764	LOC105946289
gene12982	LOC101730500
gene26298	gripap1
gene14709	Xetrov90026850m.g
gene22372	cunh20orf96
gene16914	LOC101734965
gene15249	LOC101732820
gene11042	LOC549506
gene10292	LOC101735061
gene31303	LOC101735124
gene15539	Xetrov90026856m.g
gene11157	Xetrov90026856m.g
gene13004	Xetrov90026857m.g
gene8465	LOC105946039
gene24954	ptk7
gene8799	Xetrov90026859m.g
gene22225	LOC108645399
gene17974	LOC105946040
gene30085	cyhr1
gene27325	LOC108645400
gene16786	LOC108644472
gene31174	garnl3
gene28799	slc2a8
gene24692	fbxw2
gene21854	c5
gene16650	traf1
gene32336	phf19
gene27249	LOC100487399
gene2695	psmd5
gene22765	LOC101734537
gene19892	LOC108644705
gene33282	LOC100487553
gene25894	vav2
gene11914	Xetrov90026875m.g
gene9743	Xetrov90026876m.g
gene8713	Xetrov90026877m.g
gene9039	Xetrov90026878m.g
gene20753	LOC105948229
gene720	brd3
gene13843	wdr5
gene32825	wdr5
gene33136	LOC108644704
gene29232	LOC101733802
gene26105	bcl7c
gene19795	rxra
gene12484	Xetrov90026887m.g
gene31638	LOC105948056
gene14448	Xetrov90026888m.g
gene15035	Xetrov90026888m.g
gene8587	Xetrov90026888m.g
gene25425	col5a1
gene23461	ptgds
gene9811	Xetrov90026891m.g
gene14652	olfm1
gene16997	olfm1
gene18677	trpv6
gene9009	Xetrov90026894m.g
gene32025	tbc1d25
gene29274	eaf2
gene19034	LOC101732019
gene31360	LOC100493192
gene15749	Xetrov90026899m.g
gene12620	Xetrov90026900m.g
gene9971	Xetrov90026900m.g
gene10933	Xetrov90026900m.g
gene21429	LOC101734290
gene16528	LOC100493026
gene15532	LOC100493026
gene13303	LOC100489289-like.1
gene11812	Xetrov90026904m.g
gene11044	LOC101734229
gene29642	LOC105945593
gene23065	LOC100145470
gene10614	Xetrov90026909m.g
gene12096	Xetrov90026911m.g
gene9716	LOC100488748-like
gene22868	LOC100488748
gene19214	LOC101731890
gene9105	Xetrov90026913m.g
gene7319	LOC100488918
gene26808	LOC101732254
gene23100	LOC100489082
gene11292	LOC100489082
gene29631	LOC100487648
gene16144	LOC105948401
gene24110	LOC101730879
gene16655	LOC101730946
gene30037	lix1l
gene14908	Xetrov90026921m.g
gene29472	LOC105945550
gene24212	syn2
gene10102	Xetrov90026923m.g
gene8451	ninj1
gene17750	card19
gene30889	susd3
gene25693	fgd3
gene21498	bicd2
gene15063	Xetrov90026930m.g
gene8872	Xetrov90026932m.g
gene14436	Xetrov90026933m.g
gene11419	Xetrov90026934m.g
gene29502	LOC101731087
gene28003	LOC101731153
gene23882	ccdc93
gene12790	LOC101734104
gene22042	vkorc1
gene32585	LOC108645141
gene24096	LOC100491186
gene25424	LOC101732549
gene10972	LOC100490511
gene10215	Xetrov90026942m.g
gene12947	Xetrov90026942m.g
gene12442	Xetrov90026943m.g
gene14938	Xetrov90026945m.g
gene14578	Xetrov90026946m.g
gene9703	LOC100490167
gene9440	LOC100489993
gene15695	LOC101732838
gene29790	LOC100489487
gene18015	LOC100489324
gene17492	LOC101732506
gene28297	LOC100489175
gene32361	prf1
gene18307	LOC100493300
gene17745	thbs3
gene29810	mir92b
gene22331	syce1
gene11100	LOC100485050
gene15847	LOC100491749
gene30565	LOC101731448
gene30860	LOC100498019
gene21165	LOC100488131
gene24268	LOC101731705
gene24983	gripap1
gene12993	Xetrov90026964m.g
gene28825	LOC100489852
gene33763	fchsd2
gene18256	LOC100489685
gene6851	rps3
gene1150	serpinh1
gene20590	LOC101731913
gene17652	eif2b4
gene10856	LOC101732045
gene10084	LOC101732045
gene8911	LOC101732045
gene31721	LOC100486922
gene8678	Xetrov90026973m.g
gene16319	LOC100488238
gene28738	a2m
gene5057	LOC108645142
gene22148	LOC105945596
gene16971	LOC101733266
gene4639	LOC101732107
gene22746	LOC105946043
gene26793	dnajc27
gene29777	bhmt
gene12104	Xetrov90026981m.g
gene16499	znf572
gene30072	LOC108645143
gene24740	fam69b
gene10650	Xetrov90026983m.g
gene15184	LOC101734471
gene6429	copb1
gene24160	pde3b
gene20114	cyp2r1
gene32057	calca
gene28140	insc
gene15351	Xetrov90026989m.g
gene10915	Xetrov90026990m.g
gene27511	LOC101732608
gene13731	Xetrov90026992m.g
gene25213	LOC105945600
gene23896	LOC108645144
gene9424	Xetrov90026993m.g
gene10458	Xetrov90026993m.g
gene14878	Xetrov90026993m.g
gene14226	Xetrov90026993m.g
gene22776	LOC100493191
gene9550	Xetrov90026995m.g
gene27874	LOC100491412
gene11738	Xetrov90026996m.g
gene8238	LOC108645145
gene12462	LOC100491412
gene11636	Xetrov90026999m.g
gene14220	Xetrov90027000m.g
gene9235	Xetrov90027001m.g
gene15401	Xetrov90027002m.g
gene17294	LOC100494332
gene25355	LOC105946413
gene10207	Xetrov90027005m.g
gene30608	LOC105946414
gene12021	Xetrov90027008m.g
gene9667	LOC100485755
gene10407	LOC100496346
gene24094	LOC100496190
gene29362	LOC105946389
gene10253	Xetrov90027013m.g
gene28215	LOC100038041
gene11829	Xetrov90027016m.g
gene9683	Xetrov90027017m.g
gene18737	LOC105946283
gene18708	MGC69493
gene10835	Xetrov90027019m.g
gene15277	Xetrov90027020m.g
gene8834	Xetrov90027017m.g
gene13249	Xetrov90027021m.g
gene14037	Xetrov90027022m.g
gene13430	Xetrov90027022m.g
gene14234	LOC100495554
gene31356	LOC100497670
gene11429	Xetrov90027024m.g
gene27232	LOC101735102
gene20748	LOC101735264
gene29248	LOC108645146
gene22826	idh3b
gene14830	Xetrov90027029m.g
gene13829	LOC100492203
gene10494	LOC100492203
gene9498	Xetrov90027031m.g
gene12971	Xetrov90027032m.g
gene6926	kctd8
gene15174	tub-like.1
gene20016	LOC101733061
gene18637	LOC101733155
gene26841	LOC101733203
gene21731	LOC101733268
gene10502	Xetrov90027038m.g
gene15044	Xetrov90027039m.g
gene18686	galnt18
gene4475	LOC101731593
gene31229	LOC105947164
gene14976	Xetrov90027042m.g
gene17052	eif4g2
gene4212	ctr9
gene19542	mrvi1
gene12873	Xetrov90027046m.g
gene21658	lyve1
gene26904	rnf141
gene6397	ampd3
gene19212	ano5
gene24248	LOC101730930
gene29477	slc17a6
gene16590	ttf2
gene1770	trim45
gene33905	LOC105946046
gene28471	xmc
gene12849	Xetrov90027057m.g
gene23170	LOC100495707
gene23389	LOC105946047
gene21910	pbxip1
gene28814	LOC101732875
gene17797	LOC105948303
gene12182	Xetrov90027062m.g
gene19492	LOC100497454
gene25919	LOC100497612
gene14077	LOC100497612
gene27521	LOC100497768
gene8516	LOC101733817
gene32596	LOC108645401
gene33245	trnar-ucu
gene20017	trnar-ucu
gene25140	trnar-ucu
gene30473	trnar-ucu
gene30207	trnar-ucu
gene16798	trnar-ucu
gene14000	LOC101734135
gene21946	c17orf75
gene15038	LOC100492035
gene28049	LOC101734314
gene29458	LOC100489387
gene33861	LOC101733645
gene786	LOC100488585
gene7438	LOC105946620
gene25515	paaf1
gene31934	LOC105946690
gene4347	LOC105946617
gene31550	LOC100485515
gene789	LOC105946618
gene28217	LOC101730808
gene25191	LOC105946626
gene8402	LOC105946619
gene32678	LOC100491248
gene17893	LOC101731210
gene24476	LOC101734719
gene28801	LOC108645147
gene30729	LOC100489234
gene31377	LOC100488592
gene23836	LOC100488751
gene6799	ndufc2
gene33693	LOC100489390
gene18235	mrpl48
gene30956	rab6a
gene33818	LOC101734582
gene14522	Xetrov90027090m.g
gene10932	Xetrov90027092m.g
gene5247	LOC101734573
gene8441	iqcb1
gene12523	LOC101730537-like
gene16434	LOC100486548
gene15099	Xetrov90027097m.g
gene14111	Xetrov90027098m.g
gene22777	rarres2
gene893	rarres2
gene6153	lrrc61
gene15761	LOC105945608
gene19740	zbed6cl
gene25190	znf268
gene20972	LOC100487810
gene17205	LOC108645149
gene31533	LOC100487479
gene27769	LOC101731566
gene23634	LOC105945605
gene19776	LOC101731232
gene24959	LOC108645150
gene21116	LOC100145443
gene9822	Xetrov90027108m.g
gene26282	LOC100487020
gene8615	Xetrov90027109m.g
gene22447	LOC108645151
gene16275	LOC100486247
gene5869	znf250
gene9948	Xetrov90027112m.g
gene7154	znf852
gene24942	LOC100496042
gene5380	LOC100495777
gene28340	rxfp4
gene14715	Xetrov90027117m.g
gene14399	Xetrov90027117m.g
gene33524	LOC101734690
gene14810	mecom
gene32814	LOC101731113
gene15953	arhgap39
gene21146	LOC101732533
gene25303	galr1
gene10369	Xetrov90027123m.g
gene31355	LOC105945513
gene16956	mbp
gene18616	znf236
gene32979	LOC108644707
gene28902	znf516
gene24827	tshz1
gene6779	zadh2
gene28889	znf407
gene9388	Xetrov90027132m.g
gene8359	darmin
gene7940	cndp1
gene26286	fam69c
gene723	cndp2
gene18596	LOC105947636
gene7924	cyb5a
gene11875	Xetrov90027140m.g
gene24893	LOC100487637
gene2385	timm21
gene1375	fbxo15
gene12944	Xetrov90027146m.g
gene22306	neto1
gene797	cbln2
gene19215	LOC108644706
gene32644	LOC108644708
gene26362	LOC100487695
gene3385	socs6
gene21033	gsg1l2
gene33910	glp2r
gene13582	Xetrov90027152m.g
gene8736	glp2r
gene8160	rcvrn.1
gene2886	LOC100495690
gene28410	LOC108645153
gene32516	LOC105945609
gene15370	Xetrov90027158m.g
gene16960	gas7
gene21246	stx16
gene21576	LOC101735125
gene10788	Xetrov90027161m.g
gene30198	LOC100489360
gene21070	spn
gene13526	Xetrov90027162m.g
gene29706	nlk.2
gene24490	LOC108645155
gene20331	LOC101732856
gene20936	LOC101732741
gene30994	znf208
gene17787	LOC108645154
gene20381	LOC101732639
gene10728	Xetrov90027166m.g
gene25770	LOC101732550
gene8528	cdipt
gene20351	taok2
gene7236	LOC100145486
gene28361	LOC105945612
gene15697	Xetrov90027172m.g
gene12824	Xetrov90027173m.g
gene1197	nme2
gene22589	sez6l2
gene3845	dppa2/4
gene2582	dusp14
gene2305	hirip3
gene7056	ino80e
gene34200	doc2a
gene12133	Xetrov90027182m.g
gene17825	celf3
gene15015	Xetrov90027186m.g
gene21962	LOC100493143
gene7959	slc25a34
gene13912	Xetrov90027189m.g
gene9327	Xetrov90027189m.g
gene9275	Xetrov90027189m.g
gene16330	fgd4
gene21352	LOC108645156
gene7978	dnm1l
gene4472	yars2
gene6366	cdpf1
gene5820	ttc38
gene29088	tspo
gene23712	scube1
gene18274	LOC101731929
gene11181	Xetrov90027200m.g
gene30239	LOC101730639
gene17856	LOC100488971
gene21993	LOC101730991
gene13211	Xetrov90027204m.g
gene32116	sdhb
gene17755	LOC101731214
gene31614	LOC100492379
gene26212	LOC108645157
gene21063	LOC105945614
gene34124	LOC100494545
gene29044	LOC100494225
gene19509	LOC101733788
gene30498	LOC100493872
gene7844	LOC100488079
gene34053	LOC100493309
gene25464	rnf186
gene22624	tmco4
gene17415	htr6
gene4425	nbl1
gene4818	minos1
gene19611	capzb
gene30405	LOC108645159
gene11846	Xetrov90027219m.g
gene25538	LOC101731365
gene3719	LOC100493569
gene11347	Xetrov90027223m.g
gene20636	MGC69309
gene20137	LOC733474
gene33500	akr7a2
gene30800	mrto4
gene29998	LOC105946049
gene15197	Xetrov90027228m.g
gene10585	Xetrov90027228m.g
gene17789	LOC100492708
gene19422	menf.2
gene23266	LOC101734462
gene14947	LOC100485599
gene20534	wdr83os
gene17615	LOC100485905
gene31740	LOC105945172
gene25474	LOC101734654
gene23834	LOC101734591
gene27859	LOC101735265
gene12138	Xetrov90027232m.g
gene25764	LOC100498595
gene31790	dennd1a
gene9401	Xetrov90027235m.g
gene9131	Xetrov90027237m.g
gene25520	lhx2
gene21560	LOC108644709
gene20296	nek6
gene3817	psmb7
gene17468	kif14
gene31863	adgrd2
gene779	nr5a1
gene23317	LOC101730772
gene19464	nr6a1
gene10058	nr6a1
gene12592	Xetrov90027247m.g
gene33833	mir181a-2
gene30635	mir181b-2
gene12577	Xetrov90027248m.g
gene6059	olfml2a
gene34042	efcab6
gene19540	sult4a1
gene6750	pnpla3
gene22457	samm50
gene25041	parvb
gene30302	parvg
gene32626	LOC101731896
gene18142	clasp1
gene6051	LOC100486765
gene11321	Xetrov90027259m.g
gene28408	LOC105946050
gene1332	LOC101733544
gene19409	LOC108645409
gene28965	ndel1
gene25061	LOC101732514
gene30293	LOC105945624
gene26301	rnf222
gene24537	trnaq-cug
gene16320	trnaq-uug
gene27543	LOC100496627
gene23540	LOC108645161
gene21403	LOC100496318
gene17394	LOC100496163
gene12295	LOC101731259
gene25475	LOC101730921
gene6907	LOC101730962
gene32594	LOC101732237
gene22345	rpia
gene13484	Xetrov90027273m.g
gene9153	Xetrov90027273m.g
gene10762	Xetrov90027273m.g
gene9031	Xetrov90027273m.g
gene15246	Xetrov90027274m.g
gene12354	Xetrov90027275m.g
gene10067	Xetrov90027275m.g
gene14513	Xetrov90027275m.g
gene12970	Xetrov90027275m.g
gene13618	Xetrov90027276m.g
gene13026	Xetrov90027276m.g
gene15096	Xetrov90027277m.g
gene11841	Xetrov90027278m.g
gene2687	LOC101732473
gene12165	Xetrov90027280m.g
gene11992	Xetrov90027280m.g
